location,counts,id,country,Region,Population_ori,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Nigeria,99,1,Nigeria,SUB-SAHARAN AFRICA,131859731,131859731,923768,"142,7","0,09","0,26",988,900,680,"9,3","31,29","2,96",6575,15,4043,1694,269,487,244
Japan,110,1,Japan,ASIA (EX. NEAR EAST),127463611,127463611,377835,"337,4","7,87",0,326,28200,990,"461,2","12,19","0,96",8685,3,937,916,17,258,725
Mexico,102,1,Mexico,LATIN AMER. & CARIB,107449525,107449525,1972550,"54,5","0,47","-4,87",2091,9000,922,"181,6","12,99","1,31",857,15,2069,474,38,259,702
Philippines,106,1,Philippines,ASIA (EX. NEAR EAST),89468677,89468677,300000,"298,2","12,10","-1,5",2351,4600,926,"38,4","18,95","16,77",6428,2,2489,541,144,326,"0,53"
Vietnam,106,1,Vietnam,ASIA (EX. NEAR EAST),84402966,84402966,329560,"256,1","1,05","-0,45",2595,2500,903,"187,7","19,97","5,95",7408,2,1686,622,209,"0,41",381
Germany,110,1,Germany,WESTERN EUROPE,82422299,82422299,357021,"230,9","0,67","2,18",416,27600,990,"667,9","33,85","0,59",6556,3,825,1062,9,296,695
Egypt,106,1,Egypt,NORTHERN AFRICA,78887007,78887007,1001450,"78,8","0,24","-0,22",3259,4000,577,"131,8","2,87","0,48",9665,1,2294,523,149,357,493
Ethiopia,36,1,Ethiopia,SUB-SAHARAN AFRICA,74777981,74777981,1127127,"66,3","0,00",0,9532,700,427,"8,2","10,71","0,75",8854,2,3798,1486,475,99,426
Turkey,36,1,Turkey,NEAR EAST,70413958,70413958,780580,"90,2","0,92",0,4104,6700,865,"269,5","30,93","3,31",6576,3,1662,597,117,298,585
Iran,110,1,Iran,ASIA (EX. NEAR EAST),68688433,68688433,1648000,"41,7","0,15","-0,84",4158,7000,794,"276,4","8,72","1,39",8989,1,17,555,116,424,"0,46"
