location,counts,id,country,Region,Population_ori,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Oman,104,1,Oman,NEAR EAST,3102229,3102229,212460,"14,6","0,98","0,28",1951,13100,758,"85,5",0,"0,14",9974,1,3624,381,27,"0,39",583
Liberia,33,1,Liberia,SUB-SAHARAN AFRICA,3042004,3042004,111370,"27,3","0,52",0,12887,1000,575,"2,3","3,95","2,28",9377,2,4477,231,769,54,177
Armenia,101,1,Armenia,C.W. OF IND. STATES,2976372,2976372,29800,"99,9","0,00","-6,47",2328,3500,986,"195,7","17,55","2,3",8015,4,1207,823,239,343,418
Mongolia,34,1,Mongolia,ASIA (EX. NEAR EAST),2832224,2832224,1564116,"1,8","0,00",0,5379,1800,978,"55,1","0,77",0,9923,1,2159,695,206,214,"0,58"
Jamaica,37,1,Jamaica,LATIN AMER. & CARIB,2758124,2758124,10991,"250,9","9,30","-4,92",1236,3900,879,"124,0","16,07","10,16",7377,2,2082,652,49,337,615
United Arab Emirates,104,1,United Arab Emirates,NEAR EAST,2602713,2602713,82880,"31,4","1,59","1,03",1451,23200,779,"475,3","0,6","2,25",9715,1,1896,44,"0,04",585,375
Kuwait,107,1,Kuwait,NEAR EAST,2418393,2418393,17820,"135,7","2,80","14,18",995,19000,835,"211,0","0,73","0,11",9916,1,2194,241,4,479,516
Bhutan,36,1,Bhutan,ASIA (EX. NEAR EAST),2279723,2279723,47000,"48,5","0,00",0,10044,1300,422,"14,3","3,09","0,43",9648,2,3365,127,258,379,363
Latvia,43,1,Latvia,BALTICS,2274735,2274735,64589,"35,2","0,82","-2,23",955,10200,998,"321,4","29,67","0,47",6986,3,924,1366,"0,04",261,699
Macedonia,101,1,Macedonia,EASTERN EUROPE,2050554,2050554,25333,"80,9","0,00","-1,45",1009,6700,NA,"260,0","22,26","1,81",7593,3,1202,877,118,319,563
Namibia,35,1,Namibia,SUB-SAHARAN AFRICA,2044147,2044147,825418,"2,5","0,19",0,4898,7200,840,"62,6","0,99",0,9901,1,2432,1886,97,315,588
Slovenia,44,1,Slovenia,EASTERN EUROPE,2010347,2010347,20273,"99,2","0,23","1,12",445,19000,997,"406,1","8,6","1,49",8991,NA,898,1031,28,369,603
Botswana,18,1,Botswana,SUB-SAHARAN AFRICA,1639833,1639833,600370,"2,7","0,00",0,5458,9000,798,"80,5","0,65","0,01",9934,1,2308,295,24,469,507
Guinea-Bissau,23,1,Guinea-Bissau,SUB-SAHARAN AFRICA,1442029,1442029,36120,"39,9","0,97","-1,57",10717,800,424,"7,4","10,67","8,82",8051,2,3722,1653,"0,62","0,12","0,26"
Gabon,36,1,Gabon,SUB-SAHARAN AFRICA,1424906,1424906,267667,"5,3","0,33",0,5364,5500,632,"27,4","1,26","0,66",9808,2,3616,1225,61,592,348
Estonia,105,1,Estonia,BALTICS,1324333,1324333,45226,"29,3","8,39","-3,16",787,12300,998,"333,8","16,04","0,45",8351,3,1004,1325,"0,04",294,666
Mauritius,30,1,Mauritius,SUB-SAHARAN AFRICA,1240827,1240827,2040,"608,3","8,68","-0,9",1503,11400,856,"289,3","49,26","2,96",4778,2,1543,686,59,298,643
Swaziland,35,1,Swaziland,SUB-SAHARAN AFRICA,1136334,1136334,17363,"65,5","0,00",0,6927,4900,816,"30,8","10,35","0,7",8895,25,2741,2974,119,515,366
Fiji,30,1,Fiji,OCEANIA,905949,905949,18270,"49,6","6,18","-3,14",1262,5800,937,"112,6","10,95","4,65",844,2,2255,565,89,135,776
Qatar,106,1,Qatar,NEAR EAST,885359,885359,11437,"77,4","4,92","16,29",1861,21500,825,"232,0","1,64","0,27",9809,1,1556,472,2,801,197
Cyprus,38,1,Cyprus,NEAR EAST,784301,784301,9250,"84,8","7,01","0,43",718,19200,976,NA,"7,79","4,44",8777,3,1256,768,37,198,765
Guyana,35,1,Guyana,LATIN AMER. & CARIB,767245,767245,214970,"3,6","0,21","-2,07",3326,4000,988,"143,5","2,44","0,15",9741,2,1828,828,"0,37",203,427
Bahrain,109,1,Bahrain,NEAR EAST,698585,698585,665,"1050,5","24,21","1,05",1727,16900,891,"281,3","2,82","5,63",9155,1,178,414,5,387,608
Equatorial Guinea,35,1,Equatorial Guinea,SUB-SAHARAN AFRICA,540109,540109,28051,"19,3","1,06",0,8513,2700,857,"18,5","4,63","3,57",918,2,3559,1506,"0,03",906,62
Djibouti,31,1,Djibouti,SUB-SAHARAN AFRICA,486530,486530,23000,"21,2","1,37",0,10413,1300,679,"22,8","0,04",0,9996,1,3953,1931,179,225,596
Luxembourg,103,1,Luxembourg,WESTERN EUROPE,474413,474413,2586,"183,5","0,00","8,97",481,55100,1000,"515,4","23,28","0,4",7632,NA,1194,841,"0,01","0,13","0,86"
Suriname,30,1,Suriname,LATIN AMER. & CARIB,439117,439117,163270,"2,7","0,24","-8,81",2357,4000,930,"184,7","0,37","0,06",9957,2,1802,727,"0,13","0,22","0,65"
Cape Verde,29,1,Cape Verde,SUB-SAHARAN AFRICA,420979,420979,4033,"104,4","23,93","-12,07",4777,1400,766,"169,6","9,68","0,5",8982,3,2487,655,121,219,"0,66"
Malta,40,1,Malta,WESTERN EUROPE,400214,400214,316,"1266,5","62,28","2,07",389,17700,928,"505,0","28,13","3,13",6874,NA,1022,81,"0,03","0,23","0,74"
Brunei,39,1,Brunei,ASIA (EX. NEAR EAST),379444,379444,5770,"65,8","2,79","3,59",1261,18600,939,"237,2","0,57","0,76",9867,2,1879,345,36,561,403
Maldives,40,1,Maldives,ASIA (EX. NEAR EAST),359008,359008,300,"1196,7","214,67",0,5652,3900,972,"90,0","13,33","16,67",70,2,3481,706,"0,2","0,18","0,62"
Iceland,110,1,Iceland,WESTERN EUROPE,299388,299388,103000,"2,9","4,83","2,38",331,30900,999,"647,7","0,07",0,9993,3,1364,672,86,"0,15",765
Belize,26,1,Belize,LATIN AMER. & CARIB,287730,287730,22966,"12,5","1,68",0,2569,4900,941,"115,7","2,85","1,71",9544,2,2884,572,142,152,612
Barbados,32,1,Barbados,LATIN AMER. & CARIB,279912,279912,431,"649,5","22,51","-0,31",125,15700,974,"481,9","37,21","2,33",6046,2,1271,867,"0,06","0,16","0,78"
French Polynesia,31,1,French Polynesia,OCEANIA,274578,274578,4167,"65,9","60,60","2,94",844,17500,980,"194,5","0,82","5,46",9372,2,1668,469,31,"0,19",769
New Caledonia,29,1,New Caledonia,OCEANIA,219246,219246,19060,"11,5","11,83",0,772,15000,910,"252,2","0,38","0,33",9929,2,1811,569,"0,15",88,762
Guam,31,1,Guam,OCEANIA,171019,171019,541,"316,1","23,20",0,694,21000,990,"492,0","9,09","16,36",7455,2,1879,448,NA,NA,NA
Saint Lucia,35,1,Saint Lucia,LATIN AMER. & CARIB,168458,168458,616,"273,5","25,65","-2,67",1353,5400,670,"303,3","6,56","22,95",7049,2,1968,508,"0,07","0,2","0,73"
Saint Vincent and the Grenadines,26,NA,Grenadines,LATIN AMER. & CARIB,117848,117848,389,"303,0","21,59","-7,64",1478,2900,960,"190,9","17,95","17,95",641,2,1618,598,"0,1","0,26","0,64"
Jersey,30,1,Jersey,WESTERN EUROPE,91084,91084,116,"785,2","60,34","2,76",524,24800,NA,"811,3",0,0,100,3,93,928,"0,05","0,02","0,93"
Grenada,27,1,Grenada,LATIN AMER. & CARIB,89703,89703,344,"260,8","35,17","-13,92",1462,5000,980,"364,5","5,88","29,41",6471,2,2208,688,54,"0,18",766
Seychelles,35,1,Seychelles,SUB-SAHARAN AFRICA,81541,81541,455,"179,2","107,91","-5,69",1553,7800,580,"262,4","2,22","13,33",8445,2,1603,629,32,304,665
Isle of Man,29,1,Isle of Man,WESTERN EUROPE,75441,75441,572,"131,9","27,97","5,36",593,21000,NA,"676,0",9,0,91,3,1105,1119,"0,01","0,13","0,86"
Aruba,27,1,Aruba,LATIN AMER. & CARIB,71891,71891,193,"372,5","35,49",0,589,28000,970,"516,1","10,53",0,8947,2,1103,668,4,333,663
Andorra,36,1,Andorra,WESTERN EUROPE,71201,71201,468,"152,1","0,00","6,6",405,19000,1000,"497,2","2,22",0,9778,3,871,625,NA,NA,NA
Dominica,27,1,Dominica,LATIN AMER. & CARIB,68910,68910,754,"91,4","19,63","-13,87",1415,5400,940,"304,8","6,67",20,7333,2,1527,673,177,328,495
Bermuda,30,1,Bermuda,NORTHERN AMERICA,65773,65773,53,"1241,0","194,34","2,49",853,36000,980,"851,4",20,0,80,2,114,774,"0,01","0,1","0,89"
Guernsey,30,1,Guernsey,WESTERN EUROPE,65409,65409,78,"838,6","64,10","3,84",471,20000,NA,"842,4",NA,NA,NA,3,881,1001,"0,03","0,1","0,87"
Greenland,30,1,Greenland,NORTHERN AMERICA,56361,56361,2166086,"0,0","2,04","-8,37",1582,20000,NA,"448,9",0,0,100,1,1593,784,NA,NA,NA
Cayman Islands,30,1,Cayman Islands,LATIN AMER. & CARIB,45436,45436,262,"173,4","61,07","18,75",819,35000,980,"836,3","3,85",0,9615,2,1274,489,14,32,954
Liechtenstein,39,1,Liechtenstein,WESTERN EUROPE,33987,33987,160,"212,4","0,00","4,85",47,25000,1000,"585,5",25,0,75,4,1021,718,"0,06","0,39","0,55"
Monaco,98,1,Monaco,WESTERN EUROPE,32543,32543,2,"16271,5","205,00","7,75",543,27000,990,"1035,6",0,0,100,NA,919,1291,"0,17",NA,NA
San Marino,109,1,San Marino,WESTERN EUROPE,29251,29251,61,"479,5","0,00","10,98",573,34600,960,"704,3","16,67",0,8333,NA,1002,817,NA,NA,NA
Gibraltar,30,NA,UK,WESTERN EUROPE,27928,27928,7,"3989,7","171,43",0,513,17500,NA,"877,7",0,0,100,NA,1074,931,NA,NA,NA
Anguilla,23,1,Anguilla,LATIN AMER. & CARIB,13477,13477,102,"132,1","59,80","10,76",2103,8600,950,"460,0",0,0,100,2,1417,534,"0,04","0,18","0,78"
Montserrat,28,1,Montserrat,LATIN AMER. & CARIB,9439,9439,102,"92,5","39,22",0,735,3400,970,NA,20,0,80,2,1759,71,NA,NA,NA
